Gene_Name	01OV007	01OV007_NM	01OV008_NM	01OV010_NM	01OV013_NM	01OV017	01OV017_NM	01OV018	01OV019_NM	01OV023	01OV023_NM	01OV024_NM	01OV026	01OV029	01OV029_NM	01OV030	01OV039	01OV039_NM	01OV041	02OV001_NM	02OV005	02OV006	02OV008	02OV015	02OV022	02OV023	02OV032	04OV001	04OV004	04OV005	04OV008	04OV011	04OV012	04OV013	04OV017	04OV018	04OV021	04OV023	04OV024	04OV027	04OV028	11OV002_NM	11OV010_NM	14OV011	14OV011_NM	14OV029_NM	15OV001	15OV001_NM	17OV001	17OV001_NM	17OV002	17OV002_NM	17OV003_NM	17OV004_NM	17OV005_NM	17OV014	17OV015	17OV018	17OV026
SBNO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7480100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WDR91	93345000.0	0.0	0.0	0.0	0.0	0.0	0.0	81971000.0	47860000.0	0.0	0.0	0.0	103260000.0	126340000.0	0.0	566700000.0	154310000.0	0.0	0.0	36045000.0	38230000.0	61089000.0	78870000.0	99058000.0	142100000.0	0.0	59473000.0	31777000.0	96076000.0	0.0	81505000.0	132150000.0	164950000.0	72085000.0	132200000.0	64066000.0	107500000.0	86793000.0	104290000.0	93781000.0	137400000.0	0.0	0.0	104770000.0	47114000.0	0.0	68327000.0	0.0	102020000.0	139810000.0	113500000.0	0.0	0.0	0.0	0.0	335150000.0	67491000.0	0.0	58966000.0
KLRG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31803000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
XIRP2	0.0	0.0	0.0	7081700000.0	70591000.0	0.0	0.0	0.0	0.0	0.0	0.0	41823000.0	0.0	86985000.0	0.0	0.0	0.0	0.0	0.0	225810000.0	0.0	0.0	0.0	0.0	0.0	831370000.0	304900000.0	117060000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86717000.0	0.0	0.0	0.0	0.0	54307000.0	0.0	194030000.0	411810000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VPS37C	32249000.0	0.0	0.0	0.0	0.0	29880000.0	0.0	0.0	0.0	0.0	0.0	0.0	37756000.0	31168000.0	28824000.0	0.0	33505000.0	0.0	0.0	0.0	0.0	22817000.0	38514000.0	28465000.0	29799000.0	0.0	0.0	0.0	0.0	31290000.0	0.0	0.0	0.0	28852000.0	0.0	0.0	35336000.0	38877000.0	0.0	31100000.0	28285000.0	0.0	0.0	23075000.0	0.0	0.0	0.0	0.0	25655000.0	0.0	56462000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32430000.0
TMEM189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48821000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNOT1	1321800000.0	0.0	0.0	0.0	21352000000.0	1510400000.0	1775800000.0	2065600000.0	2013700000.0	1975500000.0	1965700000.0	6486800000.0	2417200000.0	2128400000.0	3931800000.0	1343700000.0	1236800000.0	0.0	3086500000.0	7509600000.0	1922800000.0	1831300000.0	2727800000.0	1924500000.0	2199700000.0	3380500000.0	2200400000.0	2365200000.0	2090000000.0	2316300000.0	4185900000.0	2506100000.0	2049800000.0	1395700000.0	3035700000.0	2624100000.0	2649800000.0	1980100000.0	2962900000.0	2254200000.0	2591400000.0	6224200000.0	5611500000.0	3040000000.0	6426600000.0	7532300000.0	2677500000.0	8043900000.0	2435800000.0	3958200000.0	1806500000.0	0.0	0.0	0.0	0.0	4331500000.0	2959100000.0	3281800000.0	2112000000.0
MAP1LC3B	42914000.0	0.0	0.0	355990000.0	0.0	0.0	0.0	0.0	47178000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78658000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54086000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40732000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAP1LC3B2	42914000.0	0.0	0.0	355990000.0	0.0	0.0	0.0	0.0	47178000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78658000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54086000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40732000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PALM3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2951200000.0	0.0	0.0	0.0	601170000.0	0.0	0.0	1378300000.0	386210000.0	0.0	0.0	1948900000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1112100000.0	2189700000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
